avg len,diameter,nodes,edges,density,degree,i
1.5,2,5,5,0.5,2,5
1.25,2,9,27,0.75,6,9
1.5,2,13,39,0.5,6,13
1.5,2,17,68,0.5,8,17
1.5833333333333333,2,25,125,0.4166666666666667,10,25
1.5,2,29,203,0.5,14,29
1.5,2,37,333,0.5,18,37
1.5,2,41,410,0.5,20,41
1.125,2,49,1029,0.875,42,49
1.5,2,53,689,0.5,26,53
1.5,2,61,915,0.5,30,61
1.5,2,73,1314,0.5,36,73
1.25,2,81,2430,0.75,60,81
1.5,2,89,1958,0.5,44,89
1.5,2,97,2328,0.5,48,97
1.5,2,101,2525,0.5,50,101
1.5,2,109,2943,0.5,54,109
1.5,2,113,3164,0.5,56,113
1.0833333333333333,2,121,6655,0.9166666666666666,110,121
1.5806451612903225,2,125,3250,0.41935483870967744,52,125
1.5,2,137,4658,0.5,68,137
1.5,2,149,5513,0.5,74,149
1.5,2,157,6123,0.5,78,157
1.5357142857142858,2,169,6591,0.4642857142857143,78,169
1.5,2,173,7439,0.5,86,173
1.5,2,181,8145,0.5,90,181
1.5,2,193,9264,0.5,96,193
1.5,2,197,9653,0.5,98,197
1.5,2,229,13053,0.5,114,229
1.5,2,233,13514,0.5,116,233
1.5,2,241,14460,0.5,120,241
1.5,2,257,16448,0.5,128,257
1.5,2,269,18023,0.5,134,269
1.5,2,277,19113,0.5,138,277
1.5,2,281,19670,0.5,140,281
1.5277777777777777,2,289,19652,0.4722222222222222,136,289
1.5,2,293,21389,0.5,146,293
1.5,2,313,24414,0.5,156,313
1.5,2,317,25043,0.5,158,317
1.5,2,337,28308,0.5,168,337
1.5,2,349,30363,0.5,174,349
1.5,2,353,31064,0.5,176,353
1.05,2,361,61731,0.95,342,361
1.5,2,373,34689,0.5,186,373
1.5,2,389,37733,0.5,194,389
1.5,2,397,39303,0.5,198,397
1.5,2,401,40100,0.5,200,401
1.5,2,409,41718,0.5,204,409
1.5,2,421,44205,0.5,210,421
1.5,2,433,46764,0.5,216,433
1.5,2,449,50288,0.5,224,449
1.5,2,457,52098,0.5,228,457
1.5,2,461,53015,0.5,230,461
1.5,2,509,64643,0.5,254,509
1.5,2,521,67730,0.5,260,521
1.0416666666666667,2,529,133837,0.9583333333333334,506,529
1.5,2,541,73035,0.5,270,541
1.5,2,557,77423,0.5,278,557
1.5,2,569,80798,0.5,284,569
1.5,2,577,83088,0.5,288,577
1.5,2,593,87764,0.5,296,593
1.5,2,601,90150,0.5,300,601
1.5,2,613,93789,0.5,306,613
1.5,2,617,95018,0.5,308,617
1.5833333333333333,2,625,81250,0.4166666666666667,260,625
1.5,2,641,102560,0.5,320,641
1.5,2,653,106439,0.5,326,653
1.5,2,661,109065,0.5,330,661
1.5,2,673,113064,0.5,336,673
1.5,2,677,114413,0.5,338,677
1.5,2,701,122675,0.5,350,701
1.5,2,709,125493,0.5,354,709
1.25,2,729,199017,0.75,546,729
1.5,2,733,134139,0.5,366,733
1.5,2,757,143073,0.5,378,757
1.5,2,761,144590,0.5,380,761
1.5,2,769,147648,0.5,384,769
1.5,2,773,149189,0.5,386,773
1.5,2,797,158603,0.5,398,797
1.5,2,809,163418,0.5,404,809
1.5,2,821,168305,0.5,410,821
1.5,2,829,171603,0.5,414,829
1.5166666666666666,2,841,170723,0.48333333333333334,406,841
1.5,2,853,181689,0.5,426,853
1.5,2,857,183398,0.5,428,857
1.5,2,877,192063,0.5,438,877
1.5,2,881,193820,0.5,440,881
1.5,2,929,215528,0.5,464,929
1.5,2,937,219258,0.5,468,937
